2020-09-21 17:14:08 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2020-09-21 17:14:08 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2020-09-21 17:14:08 install libblkid1:amd64 <none> 2.31.1-0.4ubuntu3
2020-09-21 17:14:08 status half-installed libblkid1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:09 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:09 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:09 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2020-09-21 17:14:09 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2020-09-21 17:14:09 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2020-09-21 17:14:09 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2020-09-21 17:14:09 install libc-bin:amd64 <none> 2.27-3ubuntu1
2020-09-21 17:14:09 status half-installed libc-bin:amd64 2.27-3ubuntu1
2020-09-21 17:14:09 status unpacked libc-bin:amd64 2.27-3ubuntu1
2020-09-21 17:14:09 status unpacked libc-bin:amd64 2.27-3ubuntu1
2020-09-21 17:14:09 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2020-09-21 17:14:09 status half-configured libc6:amd64 2.27-3ubuntu1
2020-09-21 17:14:09 status unpacked libc6:amd64 2.27-3ubuntu1
2020-09-21 17:14:09 status half-installed libc6:amd64 2.27-3ubuntu1
2020-09-21 17:14:11 status half-installed libc6:amd64 2.27-3ubuntu1
2020-09-21 17:14:11 status unpacked libc6:amd64 2.27-3ubuntu1
2020-09-21 17:14:11 status unpacked libc6:amd64 2.27-3ubuntu1
2020-09-21 17:14:11 install libcap-ng0:amd64 <none> 0.7.7-3.1
2020-09-21 17:14:11 status half-installed libcap-ng0:amd64 0.7.7-3.1
2020-09-21 17:14:11 status unpacked libcap-ng0:amd64 0.7.7-3.1
2020-09-21 17:14:11 status unpacked libcap-ng0:amd64 0.7.7-3.1
2020-09-21 17:14:11 install libcom-err2:amd64 <none> 1.44.1-1
2020-09-21 17:14:11 status half-installed libcom-err2:amd64 1.44.1-1
2020-09-21 17:14:11 status unpacked libcom-err2:amd64 1.44.1-1
